#options: 1920x1118 fps=15/1 timebase=1/15 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=21 lookahead_threads=7 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:35.66 aq:19.95 tex:160691 mv:31692 misc:6129 imb:8400 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:37.23 aq:25.99 tex:253053 mv:12261 misc:1078 imb:3174 pmb:110 smb:5116 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:37.23 aq:24.46 tex:1051 mv:4735 misc:1558 imb:211 pmb:2625 smb:5564 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:37.23 aq:25.16 tex:694 mv:4053 misc:1365 imb:160 pmb:2896 smb:5344 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:37.23 aq:27.00 tex:25 mv:116 misc:795 imb:0 pmb:135 smb:8265 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:38.66 aq:23.91 tex:3290 mv:2235 misc:1131 imb:297 pmb:76 smb:8027 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:37.95 aq:24.63 tex:564 mv:2177 misc:1059 imb:54 pmb:585 smb:7761 d:s ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:37.59 aq:28.00 tex:23 mv:178 misc:695 imb:0 pmb:77 smb:8323 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:38.31 aq:32.32 tex:605 mv:916 misc:719 imb:36 pmb:92 smb:8272 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:38.10 aq:23.01 tex:3130 mv:1850 misc:1116 imb:339 pmb:71 smb:7990 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:38.38 aq:24.66 tex:741 mv:2577 misc:1170 imb:66 pmb:534 smb:7800 d:s ref:0 ;
